Country,Country Code,Indicator Name,Indicator Code,id,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,y2006,y2007,y2008,y2009,y2010,y2011,y2012,y2013,2014
Greece,GRC,"International tourism, expenditures (% of total imports)",ST.INT.XPND.MP.ZS,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.570852836,3.712307569,3.386637568,3.314013345,4.0409864,3.577458782,3.740849241,3.44532787,3.690965143,
Grenada,GRD,"International tourism, expenditures (% of total imports)",ST.INT.XPND.MP.ZS,308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.524233367,3.976186629,3.666485021,2.43506581,2.770239304,2.634565877,2.528473792,2.779994176,2.599027678,
Greenland,GRL,"International tourism, expenditures (% of total imports)",ST.INT.XPND.MP.ZS,304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guatemala,GTM,"International tourism, expenditures (% of total imports)",ST.INT.XPND.MP.ZS,320,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.792922331,5.152287458,5.07876566,4.785147696,6.747750731,6.586155444,5.194767885,5.006221901,4.978778029,
Guam,GUM,"International tourism, expenditures (% of total imports)",ST.INT.XPND.MP.ZS,316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guyana,GUY,"International tourism, expenditures (% of total imports)",ST.INT.XPND.MP.ZS,328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.357436128,4.643783869,4.620067182,3.153798182,3.581713303,4.404050722,3.583945755,3.250000836,3.450256944,
High income,HIC,"International tourism, expenditures (% of total imports)",ST.INT.XPND.MP.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.663152066,6.146237271,6.125309889,5.818671664,6.502240188,5.917862958,5.541095529,5.718729861,5.897523777,
"Hong Kong SAR, China",HKG,"International tourism, expenditures (% of total imports)",ST.INT.XPND.MP.ZS,344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.434036246,4.170309297,4.04470258,4.005611897,4.265875738,3.806300406,3.662287591,3.560202847,3.467595706,
Honduras,HND,"International tourism, expenditures (% of total imports)",ST.INT.XPND.MP.ZS,340,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.947210411,6.794828581,3.973551091,4.075369645,5.301341691,5.221733528,4.549269549,4.631358083,5.004394914,
Heavily indebted poor countries (HIPC),HPC,"International tourism, expenditures (% of total imports)",ST.INT.XPND.MP.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.626946203,7.267122774,6.620621778,5.660033752,6.019642198,5.259040097,4.765497256,4.274223831,4.477003887,
Croatia,HRV,"International tourism, expenditures (% of total imports)",ST.INT.XPND.MP.ZS,191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.635181092,3.13182859,3.494894999,3.318681003,4.189329833,3.663802562,3.531305167,3.989820202,3.817690383,
